Sensor1,Sensor2,Sensor3,Sensor4,Fist,IndexClose,IndexOpen,MiddleClose,MiddleOpen,Open,PinkyClose,PinkyOpen,Relaxed,RingClose,RingOpen,ThumbClose,ThumbOpen
95,72,90,105,1,0,0,0,0,0,0,0,0,0,0,0,0
97,84,93,110,1,0,0,0,0,0,0,0,0,0,0,0,0
101,87,86,111,1,0,0,0,0,0,0,0,0,0,0,0,0
101,86,85,109,1,0,0,0,0,0,0,0,0,0,0,0,0
92,95,80,103,1,0,0,0,0,0,0,0,0,0,0,0,0
89,86,79,107,1,0,0,0,0,0,0,0,0,0,0,0,0
94,77,73,106,1,0,0,0,0,0,0,0,0,0,0,0,0
93,71,75,106,1,0,0,0,0,0,0,0,0,0,0,0,0
89,82,78,103,1,0,0,0,0,0,0,0,0,0,0,0,0
96,85,89,102,1,0,0,0,0,0,0,0,0,0,0,0,0
92,74,82,105,1,0,0,0,0,0,0,0,0,0,0,0,0
86,90,88,103,1,0,0,0,0,0,0,0,0,0,0,0,0
93,79,76,104,1,0,0,0,0,0,0,0,0,0,0,0,0
93,82,81,103,1,0,0,0,0,0,0,0,0,0,0,0,0
92,79,85,101,1,0,0,0,0,0,0,0,0,0,0,0,0
91,79,87,98,1,0,0,0,0,0,0,0,0,0,0,0,0
88,75,78,104,1,0,0,0,0,0,0,0,0,0,0,0,0
92,82,72,109,1,0,0,0,0,0,0,0,0,0,0,0,0
95,86,78,112,1,0,0,0,0,0,0,0,0,0,0,0,0
97,78,83,115,1,0,0,0,0,0,0,0,0,0,0,0,0
98,73,79,113,1,0,0,0,0,0,0,0,0,0,0,0,0
94,79,83,110,1,0,0,0,0,0,0,0,0,0,0,0,0
91,82,85,106,1,0,0,0,0,0,0,0,0,0,0,0,0
88,89,78,104,1,0,0,0,0,0,0,0,0,0,0,0,0
94,93,79,103,1,0,0,0,0,0,0,0,0,0,0,0,0
91,90,79,102,1,0,0,0,0,0,0,0,0,0,0,0,0
92,86,79,102,1,0,0,0,0,0,0,0,0,0,0,0,0
87,89,84,104,1,0,0,0,0,0,0,0,0,0,0,0,0
92,85,80,103,1,0,0,0,0,0,0,0,0,0,0,0,0
92,81,82,105,1,0,0,0,0,0,0,0,0,0,0,0,0
91,84,75,105,1,0,0,0,0,0,0,0,0,0,0,0,0
93,79,69,102,1,0,0,0,0,0,0,0,0,0,0,0,0
94,78,68,104,1,0,0,0,0,0,0,0,0,0,0,0,0
91,86,72,104,1,0,0,0,0,0,0,0,0,0,0,0,0
92,88,73,106,1,0,0,0,0,0,0,0,0,0,0,0,0
92,97,82,108,1,0,0,0,0,0,0,0,0,0,0,0,0
97,94,76,110,1,0,0,0,0,0,0,0,0,0,0,0,0
94,89,73,108,1,0,0,0,0,0,0,0,0,0,0,0,0
98,84,76,110,1,0,0,0,0,0,0,0,0,0,0,0,0
96,82,81,103,1,0,0,0,0,0,0,0,0,0,0,0,0
94,87,82,104,1,0,0,0,0,0,0,0,0,0,0,0,0
87,72,79,103,1,0,0,0,0,0,0,0,0,0,0,0,0
93,82,75,101,1,0,0,0,0,0,0,0,0,0,0,0,0
90,93,78,100,1,0,0,0,0,0,0,0,0,0,0,0,0
90,79,76,102,1,0,0,0,0,0,0,0,0,0,0,0,0
85,70,70,103,1,0,0,0,0,0,0,0,0,0,0,0,0
87,76,82,105,1,0,0,0,0,0,0,0,0,0,0,0,0
93,77,83,103,1,0,0,0,0,0,0,0,0,0,0,0,0
92,78,82,102,1,0,0,0,0,0,0,0,0,0,0,0,0
